아벨,MPID_アベル
비섬,MPID_HONOR_マリカ
비섬의 토끼,MPID_HONOR_春祭マリカ
아리티아의 신랑,MPID_HONOR_花婿マルス
아리티아의 왕자,MPID_HONOR_マルス
비밀의 검사,MPID_HONOR_仮面ルキナ
전승의 영웅왕,MPID_HONOR_伝承マルス
영웅의 나라의 후계자,MPID_HONOR_幼少マルス
빛의 왕자,MPID_HONOR_総選挙マルス
비익의 왕족자제,MPID_HONOR_比翼マルス
전설의 여기사,MPID_HONOR_マチルダ
의로운 도적,MPID_HONOR_マシュー
시스터 레나의 오빠,MPID_HONOR_マチス
지룡족의 왕,MPID_HONOR_神階メディウス
홍련의 용기사,MPID_HONOR_ミレディ
유연한 수도사,MPID_HONOR_メルセデス
느긋한 바캉스,MPID_HONOR_水着メルセデス
페레가의 관리,MPID_HONOR_マリナス
위대한 바람의 전조,MPID_HONOR_幼少マリク
바람의 마도사,MPID_HONOR_マリク
검심의 맹아,MPID_HONOR_幼少ワユ
쌍계의 소녀검사,MPID_HONOR_双界ワユ
정상에 오른 검사,MPID_HONOR_ワユ
달에 오른 마녀,MPID_HONOR_ハロワユ
은색의 누나와 녹색의 동생,MPID_HONOR_比翼ミカヤ
은색 머리칼의 소녀,MPID_HONOR_ミカヤ
새벽의 여왕,MPID_HONOR_総選挙ミカヤ
은빛의 여왕,MPID_HONOR_伝承ミカヤ
여름색의 소녀,MPID_HONOR_夏祭ミカヤ
파도소리의 소녀,MPID_HONOR_水着ミカヤ
야망의 왕,MPID_HONOR_ミシェイル
야망의 봄축제,MPID_HONOR_春祭ミシェイル
절약가,MPID_HONOR_ミドリコ
꿈에 스쳐가는 자모,MPID_HONOR_夢ミコト
사랑의 여신,MPID_HONOR_神階ミラ
마케도니아의 공주기사,MPID_HONOR_幼少ミネルバ
붉은색 용기사,MPID_HONOR_ミネルバ
봄색의 용기사,MPID_HONOR_春祭ミネルバ
백몽의,MPID_HONOR_神階ルピナス
따듯한 백몽,MPID_HONOR_冬祭ルピナス
제멋대로인 왕녀,MPID_HONOR_ミランダ
이지의 눈동자,MPID_HONOR_ミリエル
돌보기 좋아하는 여동생,MPID_HONOR_ミスト
무구한 마음,MPID_HONOR_愛の祭ミスト
여제 제일의 가신,MPID_HONOR_モニカ
상냥한 화톳불,MPID_HONOR_炎部族モゥディ
다정한 뒷모습,MPID_HONOR_モゥディ
어두운 색의 충절,MPID_HONOR_闇マーク女
어두운 색의 미래,MPID_HONOR_闇マーク男
이계에서 온 소년,MPID_HONOR_マーク男
이계에서 온 소녀,MPID_HONOR_マーク女
폭주하는 본능,MPID_HONOR_闇ムワリム
염신,MPID_HONOR_ムスペル味方
사나운 호염,MPID_HONOR_炎部族ムスペル
페레지아의 무신,MPID_HONOR_ムスタファー
무구한 용인,MPID_HONOR_ミルラ
수호의 용인,MPID_HONOR_伝承ミルラ
무구한 괴물,MPID_HONOR_ハロミルラ
봄바람이 맺은 인연,MPID_HONOR_双界ミルラ
검은 해풍,MPID_HONOR_海賊ネサラ
어둠에서 춤추는 날개,MPID_HONOR_ネサラ
신룡왕,MPID_HONOR_神階ナーガ
수확을 기리는 신룡왕,MPID_HONOR_ハロナーガ
신룡왕의 화신,MPID_HONOR_ナギ
얌전한 아이,MPID_HONOR_ンン
축복받은 여왕,MPID_HONOR_花嫁ニケ
하타리의 열풍,MPID_HONOR_ハタリニケ
사안의 주인,MPID_HONOR_ニケ
경애의 프린세스,MPID_HONOR_伝承ナンナ
성제의 왕녀,MPID_HONOR_聖祭ナンナ
노디온의 왕녀,MPID_HONOR_ナンナ
봄색의 삼용장,MPID_HONOR_春祭ナーシェン
삼용장,MPID_HONOR_ナーシェン
치유의 성녀,MPID_HONOR_ナターシャ
홍색의 닌자,MPID_HONOR_忍者ナバール
홍색의 검사,MPID_HONOR_ナバール
울먹이며 쏘는 사냥꾼,MPID_HONOR_ネイミー
되살아난 해방왕,MPID_HONOR_ネメシス
과묵한 마을소녀,MPID_HONOR_ネフェニー
소박한 무용수,MPID_HONOR_舞踏ネフェニー
빙신,MPID_HONOR_ニフル味方
남국의 빙신,MPID_HONOR_水着ニフル
산의 은자,MPID_HONOR_ニイメ
가학성향,MPID_HONOR_ゼロ
금단의 장난,MPID_HONOR_ハロゼロ
청량한 피리소리,MPID_HONOR_ニルス
영원의 별의 여행자,MPID_HONOR_ハロニルス
부정한 공상,MPID_HONOR_エポニーヌ
어둠에서 춤추는 그림자,MPID_HONOR_比翼エポニーヌ
시원한 신부,MPID_HONOR_花嫁ニニアン
마음을 빼앗긴 빙룡,MPID_HONOR_催眠ニニアン
빙룡의 무녀,MPID_HONOR_伝承ニニアン
숙명의 무녀,MPID_HONOR_ニニアン
성야의 피는 어둠의 꽃,MPID_HONOR_冬祭ニノ
어둠의 하얀 꽃,MPID_HONOR_ニノ2
마도의 아이,MPID_HONOR_ニノ
마도정령의 총아,MPID_HONOR_カダインニノ
햇빛은 싫어,MPID_HONOR_水着ノワール
해변가의 의용병,MPID_HONOR_水着ノルン
아리티아 의용병,MPID_HONOR_ノルン
매혹의 월광,MPID_HONOR_ノート味方
천년의 마녀,MPID_HONOR_ハロノノ
영원한 어린아이,MPID_HONOR_ノノ
라스트 프린세스,MPID_HONOR_ニーナ
금기의 주술사,MPID_HONOR_ニュクス
마왕의 혼례,MPID_HONOR_花嫁オボロ
마왕얼굴의,MPID_HONOR_オボロ
힘을 봉인한 자,MPID_HONOR_オーディン
용병의 휴일,MPID_HONOR_水着オグマ
타리스의 용병,MPID_HONOR_オグマ
미의 탐구자,MPID_HONOR_オリヴァー
수줍음이 많은,MPID_HONOR_オリヴィエ
축제의 무희,MPID_HONOR_舞踏祭オリヴィエ
하늘을 나는 무희,MPID_HONOR_オリヴィエ2
청의 마도기사,MPID_HONOR_オルエン
녹의 마도기사,MPID_HONOR_オルエン2
소녀심의 약동,MPID_HONOR_オフェリア
선택받은 별의 소녀,MPID_HONOR_魔器オフェリア
웃음보 주술사,MPID_HONOR_オロチ
광기의 모정,MPID_HONOR_闇オルソン
부드러운 기사,MPID_HONOR_オスカー
분노하는 도끼전사,MPID_HONOR_オーシン
왕의 남동생,MPID_HONOR_オッテル味方
힘을 봉인한 자,MPID_HONOR_ウード
사랑과 꽃의 전사,MPID_HONOR_愛の祭ウード
토끼자매의 장녀,MPID_HONOR_春祭パオラ
백익의 장녀,MPID_HONOR_パオラ
상냥한 장녀,MPID_HONOR_外伝パオラ
정익의 세 자매,MPID_HONOR_比翼パオラ
긍지높은 타그엘,MPID_HONOR_ベルベット
토끼뜀의 영춘,MPID_HONOR_年明ベルベット
광왕의 유아,MPID_HONOR_ペレアス
고귀한 신랑,MPID_HONOR_花婿パント
은의 마도군장,MPID_HONOR_パント
꿈꾸는 요정들,MPID_HONOR_比翼ピアニー
행복한 꿈의,MPID_HONOR_神階ピアニー
기사 중의 기사,MPID_HONOR_パーシバル
살육본능,MPID_HONOR_ピエリ
이국의 공주,MPID_HONOR_ペトラ
염창냉혈의 기장,MPID_HONOR_プラハ
천마의 충신,MPID_HONOR_フィレイン
와렌의 무용수,MPID_HONOR_フィーナ
음몽의,MPID_HONOR_プルメリア味方
유혹의 첫 꿈,MPID_HONOR_年明プルメリア
창염의 후예,MPID_HONOR_パリス
심창의 공주님,MPID_HONOR_プリシラ
냉정한 궁수,MPID_HONOR_パイソン
용기와 춤추는 왕자,MPID_HONOR_舞踏キュアン
성광의 창기사,MPID_HONOR_キュアン
축복의 날개,MPID_HONOR_花婿ラフィエル
어둠의 아이,MPID_HONOR_レイ
좋은 친구,MPID_HONOR_ライ
사막의 근육상인,MPID_HONOR_砂漠ラファエル
초원의 젊은 늑대,MPID_HONOR_ラス
고귀한 용병,MPID_HONOR_レイヴァン
수줍은 들꽃,MPID_HONOR_レベッカ
신춘의 준마,MPID_HONOR_年明レギン
희망의 준마,MPID_HONOR_レギン
뇌격의 론도,MPID_HONOR_舞踏ラインハルト
뇌신의 오른팔,MPID_HONOR_ラインハルト
뇌신의 검,MPID_HONOR_ラインハルト2
탄식하는 도적,MPID_HONOR_レナック
백의 왕자,MPID_HONOR_リュシオン
집념의 주술사,MPID_HONOR_シャラ
순백의 존재,MPID_HONOR_暴走レア
풍양의 마녀,MPID_HONOR_ハロレア
온화한 햇빛,MPID_HONOR_水着キルロイ
경박한 괴도,MPID_HONOR_怪盗リカード
자경단 견습,MPID_HONOR_リヒト
혈벽석,MPID_HONOR_アーヴ
추억의 무희,MPID_HONOR_舞踏リネア
먹어 치우는 맹화,MPID_HONOR_炎部族リンカ
불꽃의 딸,MPID_HONOR_リンカ
성왕의 반신,MPID_HONOR_伝承ルフレ男
혼돈의 수확제,MPID_HONOR_ハロルフレ男
사룡의 수확제,MPID_HONOR_ハロルフレ女
사룡의 현신,MPID_HONOR_邪竜ルフレ男
절망으로 인도하는 자,MPID_HONOR_魔器ルフレ女
사룡의 응신,MPID_HONOR_伝承ルフレ女
겨울축제의 책사,MPID_HONOR_冬祭ルフレ男
성왕의 군사,MPID_HONOR_ルフレ男
비밀이 많은 군사,MPID_HONOR_ルフレ女
해변의 책사,MPID_HONOR_水着ルフレ女
마음으로부터 감사를,MPID_HONOR_愛の祭ルフレ女
냉정침착한 종기사,MPID_HONOR_ロディ
장난치는 궁병,MPID_HONOR_ハロヨファ
이스 마을의 청년,MPID_HONOR_ロナン
신의의 늑대,MPID_HONOR_ロシェ
물려받은 뛰어난 실력,MPID_HONOR_ロス
쌍염의 신랑,MPID_HONOR_双界ロイ
봉염의 젊은 사자,MPID_HONOR_伝承ロイ
위대한 공자,MPID_HONOR_総選挙ロイ
젊은 사자,MPID_HONOR_ロイ
젊은 소년의 선물,MPID_HONOR_愛の祭ロイ
리겔 황제,MPID_HONOR_愛の祭ルドルフ
고고의 검사,MPID_HONOR_ルトガー
유카타 사무라이,MPID_HONOR_夏祭リョウマ
백야의 사무라이,MPID_HONOR_リョウマ
비탕의 사무라이,MPID_HONOR_温泉リョウマ
패천의 백야무사,MPID_HONOR_伝承リョウマ
사연있는 용병,MPID_HONOR_セーバー
붉은 불꽃의 사제,MPID_HONOR_サイアス
키아란의 푸른 기사,MPID_HONOR_セイン
폭염술사,MPID_HONOR_サイゾウ
수줍은 네코마타,MPID_HONOR_ハロサクラ
온천의 무녀,MPID_HONOR_温泉サクラ
자애의 무녀,MPID_HONOR_サクラ
현자의 봄축제,MPID_HONOR_春祭サレフ
암흑마도사,MPID_HONOR_セイラム
신부모습의 신사,MPID_HONOR_花嫁サナキ
베그니온의 신사,MPID_HONOR_サナキ
로프트의 공주,MPID_HONOR_サラ
사랑으로 살아가는 승려,MPID_HONOR_立会人サウル
손신의 검희,MPID_HONOR_サイリ
땅을 달리는 유성,MPID_HONOR_スカサハ
우의의 늑대,MPID_HONOR_ザガロ
희망의 여신,MPID_HONOR_セイズ
전승의 성자,MPID_HONOR_神階セイロス
숨겨진 동경,MPID_HONOR_ルーナ
형석,MPID_HONOR_セライナ
해변의 형석,MPID_HONOR_水着セライナ
아버지의 뜻을 따라,MPID_HONOR_総選挙セリス
빛을 계승하는 자,MPID_HONOR_セリス
빛의 황자,MPID_HONOR_伝承セリス
장난치는 요호,MPID_HONOR_キヌ
신춘요호,MPID_HONOR_年明キヌ
눈 내리는 하늘의 재상,MPID_HONOR_冬祭セフェラン
시끄러운 시스터,MPID_HONOR_セーラ
성교회의 완고함,MPID_HONOR_セテス
해변의 충신,MPID_HONOR_水着ゼト
진은의 성기사,MPID_HONOR_ゼト
멍하니,MPID_HONOR_セツナ
봄축제의 비뚤어진 소녀,MPID_HONOR_春祭セレナ
고독한 사수,MPID_HONOR_シャミア
고월의 닌자,MPID_HONOR_忍者シャミア
견습 신부,MPID_HONOR_花嫁シャニー
명랑한 천마기사,MPID_HONOR_シャニー
유성의 검사,MPID_HONOR_シャナン
아스크왕국의 왕녀,MPID_HONOR_シャロン
봄빛의 아스크왕녀,MPID_HONOR_春祭シャロン
그라의 왕녀,MPID_HONOR_シーマ
전도유망한 용병,MPID_HONOR_シェズ女
신진기예의 용병,MPID_HONOR_シェズ男
수라와 같은 쌍인,MPID_HONOR_伝承シェズ女
심람의 댄서,MPID_HONOR_舞踏祭シグレ
천공을 그리는 마음,MPID_HONOR_シグレ
신랄히 비꼬는 사수,MPID_HONOR_シノン
거침없이 비꼬는 닌자,MPID_HONOR_忍者シノン
미완의 큰 그릇,MPID_HONOR_シノノメ
미래의 암야왕,MPID_HONOR_ジークベルト
충절의 천마기사,MPID_HONOR_シグルーン
충절의 신부,MPID_HONOR_花嫁シグルーン
성스러운 운명의 비익,MPID_HONOR_比翼シグルド
운명의 성기사,MPID_HONOR_伝承シグルド
성기사,MPID_HONOR_シグルド
우정의 기사,MPID_HONOR_サイラス
가르침을 마음에,MPID_HONOR_シルク
박애의 시스터,MPID_HONOR_愛の祭シルク
여행하는 무용수,MPID_HONOR_シルヴィア
비밀의 가면기사,MPID_HONOR_シリウス
여자아이 좋아,MPID_HONOR_ソレイユ
성교회에 잠입한 어둠,MPID_HONOR_ソロン
냉혹비정의 요희,MPID_HONOR_ソーニャ
염려한 토끼들,MPID_HONOR_双界ソニア
복수의 마도사,MPID_HONOR_ソニア
축제의 예언자,MPID_HONOR_ハロソフィーヤ
나바타의 예언자,MPID_HONOR_ソフィーヤ
미래를 보는 신부,MPID_HONOR_花嫁ソフィーヤ
어리둥절한 참모,MPID_HONOR_愛の祭セネリオ
침묵의 입,MPID_HONOR_幼少セネリオ
냉정한 참모,MPID_HONOR_セネリオ
고격전통의 바람술사,MPID_HONOR_カダインセネリオ
새벽의 질풍,MPID_HONOR_怪盗サザ
녹풍,MPID_HONOR_サザ
수확제가 이어준 혼,MPID_HONOR_比翼ソティス
옥좌의 소녀,MPID_HONOR_神階ソティス
성야의 환영,MPID_HONOR_冬祭ソティス
벽색의 기사,MPID_HONOR_ソール
완벽주의,MPID_HONOR_ツバキ
초원의 암사슴,MPID_HONOR_スー
홍색의 기사,MPID_HONOR_ソワレ
꽃점의 소녀,MPID_HONOR_スミア
홍련의 해적왕,MPID_HONOR_海賊スルト
염왕,MPID_HONOR_スルト味方
여름의 여신을 찾아서,MPID_HONOR_水着シルヴァン
뇌의 공녀,MPID_HONOR_ティルテュ
물의 권속,MPID_HONOR_眷属タクミ
남국만끽왕자,MPID_HONOR_水着タクミ
떡국 정말 좋아,MPID_HONOR_年明けタクミ
불화갈등의 친애,MPID_HONOR_愛の祭タクミ
신궁의 명수,MPID_HONOR_タクミ
프렐리아의 샛별,MPID_HONOR_幼少ターナ
튀는 프린세스,MPID_HONOR_水着ターナ
따뜻해지는 인연,MPID_HONOR_双界ターナ
하늘을 달리는 왕녀,MPID_HONOR_ターナ
제국의 백인,MPID_HONOR_タニス
진지한 마음,MPID_HONOR_花嫁タニス
다그다의 딸,MPID_HONOR_タニア
헌신의 성녀,MPID_HONOR_ティータ
염미의 춤,MPID_HONOR_テティス
음험한 암술사,MPID_HONOR_サーリャ
화주를 입은 등희,MPID_HONOR_砂漠サーリャ
「보통 여자아이」,MPID_HONOR_冬祭サーリャ
열정의 신부,MPID_HONOR_花嫁サーリャ
질풍의 천마기사,MPID_HONOR_ティト
전신들의 여름,MPID_HONOR_比翼トール
전신,MPID_HONOR_トール味方
오살의 마녀,MPID_HONOR_スラシル味方
대공의 패자,MPID_HONOR_ティバーン
배 없는 해적,MPID_HONOR_海賊ティバーン
일렁이는 신룡의 피,MPID_HONOR_開花チキ
해변의 용희,MPID_HONOR_水着チキ
신룡족의 왕녀,MPID_HONOR_チキ
신룡의 자각,MPID_HONOR_総選挙覚醒チキ
용족의 희망,MPID_HONOR_双界チキ
전승의 용왕녀,MPID_HONOR_伝承チキ
신룡의 무녀,MPID_HONOR_チキ覚醒
삼천번째 여름휴가,MPID_HONOR_水着チキ覚醒
잠자는 용왕녀,MPID_HONOR_催眠チキ
수난의 뇌희,MPID_HONOR_ティニー
용병단의 부장,MPID_HONOR_ティアマト
은정의 기사,MPID_HONOR_愛の祭ティアマト
분위기 파악을 못하는,MPID_HONOR_ロビン
트라키아 왕,MPID_HONOR_トラバント
악몽의,MPID_HONOR_スカビオサ味方
양광의 악몽,MPID_HONOR_春祭スカビオサ
혼신의 아이돌,MPID_HONOR_つばさ
궁사,MPID_HONOR_神階ウル
창아,MPID_HONOR_ウルスラ
여름날의 창아,MPID_HONOR_水着ウルスラ
고아단려의 창아,MPID_HONOR_カダインウルスラ
호방뇌락,MPID_HONOR_バルボ
월장석,MPID_HONOR_ヴァルター
만프로이의 심복,MPID_HONOR_ベルド
늑대인간 소녀의 정월,MPID_HONOR_年明ベロア
늑대 아가씨,MPID_HONOR_ベロア
황녀가 주는 사랑,MPID_HONOR_愛の祭ヴェロニカ
위대한 황녀,MPID_HONOR_総選挙ヴェロニカ
엠블라 해적단,MPID_HONOR_双界ヴェロニカ
변해가는 황녀,MPID_HONOR_ヴェロニカ2味方
봄다워진 황녀,MPID_HONOR_春祭ヴェロニカ
해원을 달리는 흑익,MPID_HONOR_海賊ビーゼ
귀족적인 궁수,MPID_HONOR_ヴィオール
신출귀몰한 정보원,MPID_HONOR_フォルカ
율의의 늑대,MPID_HONOR_ビラク
패왕,MPID_HONOR_ヴァルハルト
충의의 늑대,MPID_HONOR_ウルフ
상하의 궁병,MPID_HONOR_水着ウォルト
승려,MPID_HONOR_リフ
유카타 기사,MPID_HONOR_夏祭マークス
암야의 기사왕,MPID_HONOR_伝承マークス
암야의 기사,MPID_HONOR_マークス
봄빛의 암야왕자,MPID_HONOR_春祭マークス
수영 단련 중,MPID_HONOR_水着マークス
변환자재의 수확제,MPID_HONOR_ハロチェイニー
사막의 환영,MPID_HONOR_ハタリチェイニー
신춘 탈토처럼,MPID_HONOR_年明シャンブレー
겁쟁이 타그엘,MPID_HONOR_シャンブレー
손신의 검성,MPID_HONOR_レンハ
첫 여름바다,MPID_HONOR_水着ユルグ
부드러운 신설,MPID_HONOR_ユルグ
생명의 어머니 용,MPID_HONOR_ユーミル
눈을 뜬 부의 여신,MPID_HONOR_神階ユンヌ
잿빛의 의협심,MPID_HONOR_ユーリス
잃어버린 과거,MPID_HONOR_ジーク
칠흑의 장,MPID_HONOR_ゼルギウス
신랑의 맹세,MPID_HONOR_花婿ゼロット
해방의 왕,MPID_HONOR_ゼフィール
젊은 패왕의 겨울축제,MPID_HONOR_冬祭若ゼフィール
닌자검호,MPID_HONOR_忍者ツイハーク
업조브,MSID_アブゾーブ
업조브+,MSID_アブゾーブ＋
아키메네스 화관,MSID_アキメネスの花冠
전신의 전술서,MSID_戦神の戦術書
성수의 화신 중장,MSID_成獣の化身・重装
성수의 화신 기마,MSID_成獣の化身・騎馬
성수의 화신 비행,MSID_成獣の化身・飛行
성수의 화신 보행,MSID_成獣の化身・歩行
아그네아의 화살,MSID_アグネアの矢
에이드,MSID_エイド
에이드+,MSID_エイド＋
공투의 창,MSID_共闘の槍
공투의 창+,MSID_共闘の槍＋
공투의 검,MSID_共闘の剣
공투의 검+,MSID_共闘の剣＋
에탈드,MSID_エタルド
아마츠,MSID_アマツ
아미테,MSID_アミーテ
공감의 꽃,MSID_共感の花
공감의 꽃+,MSID_共感の花＋
고대마도의 희서,MSID_古代魔道の稀書
말류 라그넬,MSID_末流ラグネル
우라 오연전의 보창,MSID_裏の五連闘の宝槍
마기 절사 헬,MSID_魔器・絶死ヘル
마기 루나 이클립스,MSID_魔器ルナイクリプス
마기 엘류드니르,MSID_魔器エリューズニル
마기 기므레,MSID_魔器ギムレー
마기 단련의 꽃창,MSID_魔器・鍛錬の花槍
아단의 고검,MSID_アーダンの固剣
비검 듀란달,MSID_緋剣デュランダル
사랑의 케이크 서버,MSID_愛のケーキサーバ
사랑의 케이크 서버+,MSID_愛のケーキサーバ＋
아라드바르,MSID_アラドヴァル
알지로레,MSID_アルジローレ
은의 보궁,MSID_銀の宝弓
알마즈,MSID_アルマーズ
개살의 암기,MSID_鎧殺の暗器
개살의 암기+,MSID_鎧殺の暗器＋
아머킬러,MSID_アーマーキラー
아머킬러+,MSID_アーマーキラー＋
아머킬러 단,MSID_アーマーキラー2
아머킬러 단+,MSID_アーマーキラー2＋
해럴드의 웅부,MSID_ハロルドの雄斧
꽃핀 심기의 검,MSID_花開く心技の剣
암기죽이기 활,MSID_暗器殺しの弓
암기죽이기 활+,MSID_暗器殺しの弓＋
어설트,MSID_アサルト
유성,MSID_流星剣
성룡의 브레스,MSID_星竜のブレス
아수라의 쌍인,MSID_アスラの双刃
아사메이의 단도,MSID_アサメイの短剣
아틀라스,MSID_アトラース
아틀라스+,MSID_アトラース＋
아우두무라,MSID_氷剣アウドムラ
오라,MSID_オーラ
아리얼,MSID_アーリアル
아우르겔미르,MSID_アウルゲルミル
극광의 브레스,MSID_極光のブレス
기부 로픈헤이드,MSID_機斧ロヴンヘイズ
인버스의 암흑,MSID_インバースの暗闇
눈을 뜬 용의 브레스,MSID_目覚めし竜のブレス
절망의 사부,MSID_絶望の邪斧
바아톨의 호부,MSID_バアトルの豪斧
아이무르,MSID_アイムール
순섬 아이라의 검,MSID_瞬閃アイラの剣
창궁의 세창,MSID_蒼穹の細槍
발뭉,MSID_バルムンク
반시Θ,MSID_バンシーΘ
암살수리검,MSID_暗殺手裏剣
암살수리검+,MSID_暗殺手裏剣＋
배리어의 도끼,MSID_バリアの斧
배리어의 도끼+,MSID_バリアの斧＋
배리어의 검,MSID_バリアの剣
배리어의 검+,MSID_バリアの剣＋
배리어의 창,MSID_バリアの槍
배리어의 창+,MSID_バリアの槍＋
바실리코스,MSID_バシリコス
비치 플래그,MSID_ビーチフラッグ
비치 플래그+,MSID_ビーチフラッグ＋
봄의 요궁,MSID_春の妖弓
봄의 요궁+,MSID_春の妖弓＋
성령의 검,MSID_聖鈴の剣
성령의 검+,MSID_聖鈴の剣＋
보검 소피아,MSID_宝剣ソフィア
공허한 창,MSID_虚ろな槍
베르크트의 창,MSID_ベルクトの槍
베르크트의 창+,MSID_ベルクトの槍＋
광부 알마즈,MSID_狂斧アルマーズ
베르카의 살부,MSID_ベルカの殺斧
대어의 활,MSID_大漁の弓
대어의 활+,MSID_大漁の弓＋
봉인의 검,MSID_封印の剣
반창 레긴레이브,MSID_絆槍レギンレイヴ
흑야의 브레스,MSID_黒夜のブレス
흑야의 브레스+,MSID_黒夜のブレス＋
두터운 정의 강검,MSID_厚情の剛剣
자하나 왕의 사인,MSID_ジャハナ王の砂刃
루네스의 예검,MSID_ルネスの礼剣
그림자 영웅의 검,MSID_影の英雄の剣
블라블레이드,MSID_スレッダブラー
블라블레이드+,MSID_スレッダブラー＋
푸른 꽃바구니,MSID_青の花かご
푸른 꽃바구니+,MSID_青の花かご＋
블라폭스,MSID_ブラーフォックス
블라폭스+,MSID_ブラーフォックス＋
블라라이온,MSID_ブラーライオン
블라라이온+,MSID_ブラーライオン＋
블라아울,MSID_ブラーアウル
블라아울+,MSID_ブラーアウル＋
블라래빗,MSID_ブラーラビット
블라래빗+,MSID_ブラーラビット＋
블라레이븐,MSID_ナートブラー
블라레이븐+,MSID_ナートブラー＋
블라서펜트,MSID_ブラーサーペント
블라서펜트+,MSID_ブラーサーペント＋
블라울프,MSID_ウルファブラー
블라울프+,MSID_ウルファブラー＋
열검 듀란달,MSID_烈剣デュランダル
홍염의 부자의 성부,MSID_紅炎の親子の聖斧
성스러운 부케,MSID_聖なるブーケ
성스러운 부케+,MSID_聖なるブーケ＋
블리자드,MSID_ブリザード
마왕의 혈서,MSID_魔王の血書
파란 까마귀의 서,MSID_蒼鴉の書
푸른 알,MSID_青の卵
푸른 알+,MSID_青の卵＋
푸른 선물상자,MSID_青のプレゼント箱
푸른 선물상자+,MSID_青のプレゼント箱＋
볼가논,MSID_ボルガノン
볼가논+,MSID_ボルガノン＋
요정자매의 인연,MSID_妖精姉妹の絆
뼈 암기,MSID_骨の暗器
뼈 암기+,MSID_骨の暗器＋
몽환의 서,MSID_夢幻の書
금란의 서,MSID_金蘭の書
포영의 서,MSID_泡影の書
과즙의 보틀,MSID_果汁のボトル
과즙의 보틀+,MSID_果汁のボトル＋
축복의 꽃의 활,MSID_祝福の花の弓
축복의 꽃의 활+,MSID_祝福の花の弓＋
가려의 활,MSID_佳麗の弓
맹애의 활,MSID_盲愛の弓
프렐리아의 보궁,MSID_フレリアの玉弓
선잠의 봄의 활,MSID_うたた寝の春の弓
쌍성전사의 성궁,MSID_双聖戦士の聖弓
벨던의 황궁,MSID_ヴェルダンの荒弓
용자의 도끼,MSID_勇者の斧
용자의 도끼+,MSID_勇者の斧＋
용자의 활,MSID_勇者の弓
용자의 활+,MSID_勇者の弓＋
용자의 창,MSID_勇者の槍
용자의 창+,MSID_勇者の槍＋
용자의 검,MSID_勇者の剣
용자의 검+,MSID_勇者の剣＋
굳센 전묘의 조아,MSID_剛なる戦猫の爪牙
파멸의 검의 전창,MSID_壊刃の戦槍
암야룡의 브레스,MSID_暗夜竜のブレス
불꽃축제의 브레스,MSID_炎祭のブレス
안개의 브레스,MSID_霧のブレス
신부의 카틀레야,MSID_花嫁のカトレア
신부의 카틀레야+,MSID_花嫁のカトレア＋
신부의 해바라기,MSID_花嫁の向日葵
신부의 해바라기+,MSID_花嫁の向日葵＋
늑대신부의 어금니,MSID_狼花嫁の牙
귀여운 색으로 물든 장식의 알,MSID_可憐に色づく飾り卵
여름밤의 악몽의 뿔,MSID_夏夜の悪夢の角
하얀 피의 나기나타,MSID_白き血の薙刀
성광 스타라이트,MSID_聖光スターライト
나뭇잎 부채,MSID_葉の扇
나뭇잎 부채+,MSID_葉の扇＋
수란의 브레스,MSID_獣乱のブレス
브륜힐데,MSID_ブリュンヒルデ
애정의 꽃의 활,MSID_愛情の花の弓
애정의 꽃의 활+,MSID_愛情の花の弓＋
맹우의 검,MSID_猛牛の剣
젊은 맹우의 창,MSID_若き猛牛の槍
백토신의 당근,MSID_ウカノミタマ
흰토끼의 알,MSID_白兎の卵
흰토끼의 알+,MSID_白兎の卵＋
타그엘 아이의 조아,MSID_タグエルの子の爪牙
부표,MSID_海に浮かぶ板
부표+,MSID_海に浮かぶ板＋
뷜레이스트,MSID_ビューレイスト
카두케우스의 지팡이,MSID_カドゥケウスの杖
케이크 나이프,MSID_ケーキナイフ
케이크 나이프+,MSID_ケーキナイフ＋
기살의 암기,MSID_騎殺の暗器
기살의 암기+,MSID_騎殺の暗器＋
카밀라의 염부,MSID_カミラの艶斧
촛대,MSID_燭台
촛대+,MSID_燭台＋
사탕과자 암기,MSID_砂糖菓子の暗器
캔들 서비스,MSID_キャンドルサービス
캔들+,MSID_キャンドル＋
양초 활,MSID_ロウソクの弓
양초 활+,MSID_ロウソクの弓＋
캔디 케인,MSID_キャンディケイン
캔디 케인+,MSID_キャンディケイン＋
깊은 우아함의 성기,MSID_深き優しさの聖器
수라 아마츠,MSID_修羅アマツ
봄꽃 활,MSID_春花の弓
봄꽃 활+,MSID_春花の弓＋
봄꽃 창,MSID_春花の槍
봄꽃 창+,MSID_春花の槍＋
당근 도끼,MSID_ニンジンの斧
당근 도끼+,MSID_ニンジンの斧＋
당근풍 장식,MSID_人参風の装飾
당근풍 장식+,MSID_人参風の装飾＋
당근 창,MSID_ニンジンの槍
당근 창+,MSID_ニンジンの槍＋
카사블랑카,MSID_カサブランカ
카사블랑카+,MSID_カサブランカ＋
마를 잇는 소녀의 천구의,MSID_魔継ぐ少女の天球儀
부의 힘,MSID_負の力
혼돈 라그넬,MSID_混沌ラグネル
돌격의 뿔피리,MSID_突撃の角笛
세르쥬의 공부,MSID_セルジュの恐斧
마도의 총아의 나침반,MSID_魔道の寵子の羅針盤
여름얼음의 브레스,MSID_夏氷のブレス
클라이네의 활,MSID_クライネの弓
클라이네의 활+,MSID_クライネの弓＋
